wavelength,energy,-10_deltaA,-2_deltaA,-4_deltaA,-6_deltaA,-8_deltaA,0_deltaA,10_deltaA,2_deltaA,4_deltaA,6_deltaA,8_deltaA,-10_mdeg,-2_mdeg,-4_mdeg,-6_mdeg,-8_mdeg,0_mdeg,10_mdeg,2_mdeg,4_mdeg,6_mdeg,8_mdeg,-10_deltaA_diff,-2_deltaA_diff,-4_deltaA_diff,-6_deltaA_diff,-8_deltaA_diff,0_deltaA_diff,10_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff,8_deltaA_diff
750.0,1.6533333333333333,-0.000303442375625,-0.0007708750000000001,-0.00080675,-0.00019312786499999998,0.0004870625,-0.000781375,-0.0006426875,-0.0007865624999999999,-0.0004034375,-0.0010771875,-0.000571308048125,-10.00813643286375,-25.42499925,-26.608228500000003,-6.36974324343,16.064295375,-25.77131025,-21.197119125,-25.942404375000002,-13.306175624999998,-35.527798125000004,-18.842882043258747,0.000477932624375,1.0499999999999876e-05,-2.5375000000000007e-05,0.000588247135,0.0012684375,0.0,0.00013868749999999992,-5.187499999999984e-06,0.00037793749999999996,-0.00029581250000000007,0.0002100669518749999
760.0,1.631578947368421,-0.00010146863375,-0.0005094375,-0.000479375,-6.188929625000001e-05,0.00051475,-0.000533875,-0.000471625,-0.00056325,-0.00033787499999999996,-0.000827875,-0.000531717793125,-3.3466384783425,-16.802267625,-15.810746250000001,-2.0412327689175,16.9774845,-17.60826525,-15.555135750000002,-18.5771115,-11.14379325,-27.304973249999996,-17.537116252848747,0.0004324063662499999,2.4437499999999937e-05,5.449999999999997e-05,0.00047198570374999997,0.001048625,0.0,6.224999999999997e-05,-2.9374999999999996e-05,0.000196,-0.0002940000000000001,2.157206874999905e-06
770.0,1.6103896103896105,3.8145706250000004e-06,-0.0003853125,-0.00039075000000000004,-5.0696943750000055e-06,0.0006074374999999999,-0.0005156875000000001,-0.0005765625,-0.0005653125000000001,-0.0003850625,-0.0007744375,-0.000574875,0.12581216835374998,-12.708376875,-12.8877165,-0.1672086598762501,20.034503625,-17.008405125,-19.016184375,-18.645136875,-12.700131375,-25.542497625000003,-18.96052725,0.0005195020706250001,0.00013037500000000007,0.00012493750000000005,0.0005106178056250001,0.001123125,0.0,-6.087499999999995e-05,-4.962499999999997e-05,0.0001306250000000001,-0.00025874999999999987,-5.918749999999989e-05
780.0,1.5897435897435896,5.347166e-05,-0.00040137500000000004,-0.00026156249999999997,9.036609e-05,0.0005996875,-0.0005176250000000001,-0.0005176874999999999,-0.000525625,-0.000313375,-0.0007843125000000001,-0.0005875703275,1.7636022901200001,-13.23815025,-8.626854375,2.9804543803800003,19.778893125,-17.07230775,-17.074369125,-17.336163749999997,-10.335734250000002,-25.868194875,-19.379244541604997,0.0005710966600000001,0.00011625000000000003,0.0002560625000000001,0.0006079910900000001,0.0011173125,0.0,-6.249999999984567e-08,-7.999999999999978e-06,0.00020425000000000006,-0.0002666875,-6.994532749999996e-05
790.0,1.5696202531645569,0.00012788505,-0.0003284375,-0.0001883125,0.00010355542999999998,0.0006210625000000001,-0.0005083125000000001,-0.0005751875,-0.00051175,-0.000303,-0.00071575,-0.0005715000000000001,4.2179047191,-10.832525624999999,-6.210922875,3.41546519226,20.483883374999998,-16.765162875,-18.970834124999996,-16.878538499999998,-9.993546,-23.606866500000002,-18.849213,0.0006361975500000001,0.00017987500000000008,0.0003200000000000001,0.0006118679300000001,0.0011293750000000002,0.0,-6.687499999999988e-05,-3.4374999999999684e-06,0.0002053125000000001,-0.00020743749999999994,-6.318749999999998e-05
800.0,1.55,0.00022099999999999998,-0.0002681875,-0.0001913125,0.00012092836999999999,0.000659125,-0.00044418750000000003,-0.0006413125,-0.0004326875,-0.000306375,-0.0006742499999999999,-0.0005028750000000001,7.289022,-8.845360125,-6.309868875,3.98845949934,21.73926075,-14.650192125,-21.151768875,-14.270899125,-10.10486025,-22.238113499999997,-16.585823249999997,0.0006651875,0.00017600000000000005,0.00025287500000000006,0.00056511587,0.0011033125000000001,0.0,-0.00019712499999999993,1.1500000000000008e-05,0.00013781250000000002,-0.0002300624999999999,-5.868750000000004e-05
810.0,1.5308641975308641,0.000274375,-0.00021987500000000002,-0.000127323985,0.00020589359,0.000674875,-0.00041731250000000004,-0.0006306875,-0.00043931250000000003,-0.00033600000000000004,-0.0006795625,-0.0004990624999999999,9.04943625,-7.25191725,-4.19939967327,6.79078238538,22.25872725,-13.763800875000001,-20.801335125,-14.489404874999998,-11.081952,-22.413330375,-16.460079375,0.0006916875,0.00019743750000000002,0.00028998851500000003,0.00062320609,0.0010921875,0.0,-0.00021337499999999991,-2.1999999999999993e-05,8.13125e-05,-0.00026225,-8.17499999999999e-05
820.0,1.5121951219512195,0.0003300625,-0.00019775,-0.000124422280625,0.000247875,0.0006642499999999999,-0.0003781875,-0.000676,-0.000385625,-0.000335625,-0.00069775,-0.0005628125,10.886121374999998,-6.522190500000001,-4.1036956595737495,8.17541325,21.9082935,-12.473380124999998,-22.295832,-12.71868375,-11.06958375,-23.0131905,-18.562681875000003,0.00070825,0.0001804375,0.000253765219375,0.0006260625,0.0010424375,0.0,-0.00029781249999999995,-7.437500000000011e-06,4.256250000000001e-05,-0.0003195625,-0.00018462500000000006
830.0,1.4939759036144578,0.0003798125,-0.00015525,-6.6855115e-05,0.0002610625,0.000644,-0.0003384375,-0.000724875,-0.0004046875,-0.0003166875,-0.0006908125,-0.00056875,12.526975874999998,-5.1204555,-2.20501540293,8.610363375,21.240408000000002,-11.162345625,-23.90782725,-13.347403125,-10.444987125,-22.784377875,-18.7585125,0.0007182499999999999,0.00018318749999999997,0.000271582385,0.0005995,0.0009824375,0.0,-0.00038643750000000006,-6.625000000000001e-05,2.174999999999996e-05,-0.00035237500000000004,-0.00023031250000000005
840.0,1.4761904761904763,0.0003998125,-0.000133940215,-5.23082139375e-05,0.00031575,0.000634375,-0.000283625,-0.0007486875,-0.00041387499999999996,-0.00030875,-0.0006692499999999999,-0.000579,13.186615875000001,-4.41761617113,-1.7252295120866248,10.4140665,20.92295625,-9.354519750000001,-24.693211124999998,-13.65042525,-10.1831925,-22.073203499999998,-19.096578,0.0006834375,0.00014968478500000003,0.00023131678606250002,0.0005993750000000001,0.000918,0.0,-0.0004650625,-0.00013024999999999994,-2.5124999999999974e-05,-0.0003856249999999999,-0.00029537499999999996
