wavelength,energy,-10_deltaA,-2_deltaA,-4_deltaA,-6_deltaA,-8_deltaA,0_deltaA,10_deltaA,2_deltaA,4_deltaA,6_deltaA,8_deltaA,-10_mdeg,-2_mdeg,-4_mdeg,-6_mdeg,-8_mdeg,0_mdeg,10_mdeg,2_mdeg,4_mdeg,6_mdeg,8_mdeg,-10_deltaA_diff,-2_deltaA_diff,-4_deltaA_diff,-6_deltaA_diff,-8_deltaA_diff,0_deltaA_diff,10_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff,8_deltaA_diff
400.0,3.1,0.007006999999999999,0.00890925,0.015892,0.01764975,0.013419,-0.0004545,-0.00562,-0.0099035,-0.016413999999999998,-0.01674775,-0.01267775,231.104874,293.84488350000004,524.149944,582.1240545,442.585458,-14.990319,-185.35884,-326.637237,-541.366548,-552.3742904999999,-418.1375505,0.007461499999999999,0.00936375,0.0163465,0.01810425,0.0138735,0.0,-0.0051655,-0.009449,-0.015959499999999998,-0.01629325,-0.01222325
410.0,3.024390243902439,0.00687075,0.006388,0.011855000000000001,0.013573749999999999,0.011311499999999999,-0.0004890000000000001,-0.006001,-0.00751,-0.012184,-0.013298500000000001,-0.01091125,226.6110765,210.68901599999998,391.00161,447.6894225,373.075893,-16.128198,-197.924982,-247.69482,-401.85268800000006,-438.611127,-359.8748475,0.00735975,0.006876999999999999,0.012344,0.014062749999999999,0.011800499999999998,0.0,-0.005512,-0.007021,-0.011695,-0.012809500000000001,-0.010422250000000001
420.0,2.9523809523809526,0.005887750000000001,0.00406525,0.0076967500000000005,0.009205,0.008247,-0.00035424999999999996,-0.005429,-0.0048389999999999996,-0.007986,-0.0091025,-0.008088,194.1897705,134.08007550000002,253.8542085,303.59930999999995,272.00255400000003,-11.6838735,-179.059278,-159.599898,-263.39425200000005,-300.218655,-266.758416,0.006242000000000001,0.0044195,0.008051,0.00955925,0.008601250000000001,0.0,-0.005074749999999999,-0.004484749999999999,-0.00763175,-0.008748249999999999,-0.007733749999999999
430.0,2.883720930232558,0.004900750000000001,0.002719,0.005261,0.0064845,0.00618,-0.00023950000000000002,-0.004727500000000001,-0.00322275,-0.005577499999999999,-0.0064185,-0.006144500000000001,161.6365365,89.67805800000001,173.518302,213.871779,203.82876,-7.899189,-155.922405,-106.29274050000001,-183.957105,-211.694967,-202.657899,0.005140250000000001,0.0029585,0.0055005,0.006724,0.0064195,0.0,-0.004488000000000001,-0.00298325,-0.005337999999999999,-0.006179,-0.0059050000000000005
440.0,2.8181818181818183,0.0041405,0.0019715,0.003807,0.0048042499999999995,0.00479475,-0.00014275,-0.0040685,-0.0022789999999999998,-0.00397775,-0.0047694999999999994,-0.0048125,136.56197099999997,65.024013,125.56247400000001,158.4537735,158.1404445,-4.7081805,-134.18726700000002,-75.165978,-131.19415049999998,-157.307649,-158.72587499999997,0.00428325,0.0021142500000000002,0.00394975,0.004946999999999999,0.0049375,0.0,-0.00392575,-0.0021362499999999997,-0.0038350000000000003,-0.00462675,-0.00466975
450.0,2.7555555555555555,0.00352225,0.00149525,0.0028955,0.00372575,0.003849,-7.23169975e-05,-0.0035329999999999997,-0.0016732499999999998,-0.0029835,-0.00369475,-0.003881,116.1708495,49.3163355,95.499381,122.8826865,126.947718,-2.385159211545,-116.525406,-55.1871315,-98.401797,-121.8602445,-128.003142,0.0035945669975,0.0015675669975,0.0029678169975,0.0037980669975,0.0039213169975,0.0,-0.0034606830024999998,-0.0016009330025,-0.0029111830025,-0.0036224330025,-0.0038086830025
460.0,2.6956521739130435,0.0030245000000000003,0.00117475,0.002284,0.0029744999999999997,0.00315625,-3.6902382499999996e-05,-0.0030470000000000002,-0.001281,-0.00230875,-0.0029360000000000002,-0.0031925,99.754059,38.7456045,75.330888,98.10495900000001,104.0994375,-1.217114379615,-100.49615399999999,-42.249942,-76.14719250000002,-96.83515200000001,-105.29503500000001,0.0030614023825000004,0.0012116523825000001,0.0023209023825,0.0030114023825,0.0031931523825000003,0.0,-0.0030100976175,-0.0012440976175,-0.0022718476175,-0.0028990976175,-0.0031555976175
470.0,2.6382978723404253,0.00255325,0.0009195,0.001788,0.00235325,0.00254875,-1.99700495e-05,-0.0025762499999999995,-0.0009785,-0.00178,-0.0023012500000000003,-0.00258975,84.2112915,30.326949000000003,58.971816000000004,77.6148915,84.0628725,-0.658652172609,-84.9698775,-32.272887000000004,-58.70796,-75.89982749999999,-85.4151345,0.0025732200494999998,0.0009394700495,0.0018079700495000001,0.0023732200494999997,0.0025687200494999996,0.0,-0.0025562799504999997,-0.0009585299505,-0.0017600299504999999,-0.0022812799505000005,-0.0025697799505000002
480.0,2.5833333333333335,0.002123,0.00069725,0.0013839999999999998,0.00185175,0.00204925,-1.52850035e-05,-0.00215975,-0.00075325,-0.0013782500000000001,-0.00180925,-0.00208025,70.02078599999999,22.9966995,45.647088,61.0744185,67.5883635,-0.504129985437,-71.23287450000001,-24.8436915,-45.4574415,-59.672683500000005,-68.6108055,0.0021382850035,0.0007125350034999999,0.0013992850034999999,0.0018670350035000002,0.0020645350035,0.0,-0.0021444649965,-0.0007379649965,-0.0013629649965,-0.0017939649965,-0.0020649649965
490.0,2.5306122448979593,0.00174625,0.0005215,0.0010665000000000002,0.0014467500000000001,0.00163675,-1.33587211e-05,-0.0017805,-0.00058175,-0.00106075,-0.00141825,-0.00166275,57.594817500000005,17.200113,35.175303,47.716708499999996,53.9832885,-0.44059733932019995,-58.724451,-19.187278499999998,-34.9856565,-46.776721499999994,-54.8408205,0.0017596087211,0.0005348587211000001,0.0010798587211000002,0.0014601087211000001,0.0016501087211,0.0,-0.0017671412789,-0.0005683912789,-0.0010473912789,-0.0014048912789,-0.0016493912789
500.0,2.48,0.0014277500000000002,0.00039375,0.00081625,0.001126,0.00130225,-1.54120545e-05,-0.0014672500000000002,-0.000445,-0.0008225000000000001,-0.0011090000000000002,-0.00132675,47.090050500000004,12.986662500000001,26.921557500000002,37.137732,42.9508095,-0.508320381519,-48.3928395,-14.67699,-27.127695000000003,-36.577038,-43.7588685,0.0014431620545000002,0.0004091620545,0.0008316620545,0.0011414120545,0.0013176620545,0.0,-0.0014518379455000002,-0.00042958794549999995,-0.0008070879455000001,-0.0010935879455000002,-0.0013113379455
510.0,2.4313725490196076,0.0011589999999999999,0.00029025000000000003,0.0006197500000000001,0.00086975,0.001026,-2.6415835e-05,-0.001203,-0.00035175,-0.00064175,-0.00086925,-0.00105375,38.22613799999999,9.573025500000002,20.440594500000003,28.6860945,33.839532,-0.8712470699699999,-39.677346,-11.601418500000001,-21.1661985,-28.6696035,-34.7547825,0.001185415835,0.000316665835,0.0006461658350000001,0.000896165835,0.001052415835,0.0,-0.001176584165,-0.00032533416500000003,-0.0006153341649999999,-0.000842834165,-0.001027334165
520.0,2.3846153846153846,0.000939,0.0002105,0.000468,0.0006622500000000001,0.00079825,-2.627303e-05,-0.000972,-0.00027225000000000003,-0.00049625,-0.0006677499999999999,-0.000833,30.970098,6.942711,15.435576,21.842329499999998,26.327881499999997,-0.8665370754600001,-32.058504,-8.979349500000001,-16.3673175,-22.0237305,-27.474006000000003,0.00096527303,0.00023677303,0.00049427303,0.0006885230300000001,0.0008245230300000001,0.0,-0.00094572697,-0.00024597697000000005,-0.00046997696999999996,-0.0006414769699999999,-0.0008067269699999999
530.0,2.339622641509434,0.0007455,0.00014525,0.000343,0.0005025000000000001,0.000612,-2.85819075e-05,-0.000776,-0.00021099999999999998,-0.000375,-0.00051125,-0.00064525,24.588081000000003,4.7906355000000005,11.312826,16.573455000000003,20.184984,-0.9426884731649999,-25.594032,-6.959201999999999,-12.36825,-16.862047499999996,-21.2816355,0.0007740819075,0.0001738319075,0.0003715819075,0.0005310819075000001,0.0006405819075,0.0,-0.0007474180925,-0.00018241809249999998,-0.0003464180925,-0.00048266809249999996,-0.0006166680925
540.0,2.2962962962962963,0.00058175,9.563921499999999e-05,0.00024275000000000002,0.0003735,0.00046325,-2.6366972499999998e-05,-0.0006135,-0.00015825000000000002,-0.00028525,-0.000386,-0.0004959999999999999,19.187278499999998,3.1543725891300003,8.006380499999999,12.318777,15.2789115,-0.869635486995,-20.234457,-5.2194015,-9.408115500000001,-12.731051999999998,-16.359071999999998,0.0006081169725,0.00012200618749999999,0.00026911697250000003,0.00039986697250000004,0.0004896169725,0.0,-0.0005871330275,-0.00013188302750000004,-0.0002588830275,-0.0003596330275,-0.0004696330274999999
