wavelength,energy,-2_deltaA,-4_deltaA,0_deltaA,10_deltaA,2_deltaA,4_deltaA,6_deltaA,8_deltaA,-2_mdeg,-4_mdeg,0_mdeg,10_mdeg,2_mdeg,4_mdeg,6_mdeg,8_mdeg,-2_deltaA_diff,-4_deltaA_diff,0_deltaA_diff,10_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff,8_deltaA_diff
400.0,3.1,-0.00018925000000000018,-0.0004819999999999998,-0.0005266111111111108,0.0008382499999999996,-0.001327,-0.0009819999999999994,-0.0004642500000000011,0.00013725000000000109,-6.241843499999987,-15.897324000000026,-17.368687666666663,27.64716149999998,-43.76711399999999,-32.38832400000001,-15.311893499999996,4.526779499999975,0.00033736111111111065,4.4611111111111045e-05,0.0,0.0013648611111111105,-0.0008003888888888892,-0.00045538888888888853,6.236111111110971e-05,0.0006638611111111119
404.0,3.0693069306930694,-0.0002802500000000001,-0.0004832499999999993,-0.0005356111111111112,0.0004524999999999989,-0.00112525,-0.0010577499999999997,-0.00042050000000000073,-2.9249999999999762e-05,-9.243205500000016,-15.938551500000017,-17.665525666666664,14.924354999999991,-37.11299550000001,-34.88671050000002,-13.868931000000003,-0.9647235000000194,0.00025536111111111104,5.236111111111186e-05,0.0,0.0009881111111111102,-0.0005896388888888888,-0.0005221388888888885,0.00011511111111111043,0.0005063611111111114
408.0,3.0392156862745097,-0.0003152500000000004,-0.00046774999999999985,-0.0004344999999999999,3.750000000000281e-06,-0.00094025,-0.0008717500000000001,-0.00042025000000000005,-0.00023125000000000012,-10.397575499999988,-15.42733050000001,-14.330679,0.12368250000001524,-31.0113255,-28.752058499999997,-13.860685499999988,-7.627087500000016,0.00011924999999999946,-3.324999999999997e-05,0.0,0.00043825000000000016,-0.0005057500000000001,-0.00043725000000000025,1.4249999999999831e-05,0.00020324999999999976
412.0,3.0097087378640777,-0.00033450000000000016,-0.0005070000000000001,-0.00041288888888888885,-0.0002982499999999999,-0.000761501155,-0.0007463379600000001,-0.00038849999999999985,-0.0003597499999999998,-11.03247900000001,-16.721874,-13.61790133333334,-9.836881500000004,-25.115831094209998,-24.61571859672,-12.813506999999998,-11.865274499999998,7.838888888888869e-05,-9.411111111111122e-05,0.0,0.00011463888888888895,-0.0003486122661111111,-0.00033344907111111123,2.4388888888889006e-05,5.313888888888903e-05
416.0,2.980769230769231,-0.000347,-0.000462,-0.0003635000000000001,-0.0005182499999999999,-0.0006722499999999998,-0.0006795000000000001,-0.00036324999999999997,-0.0004585201975,-11.444754,-15.237684000000002,-11.988957,-17.0929215,-22.172149499999993,-22.411269,-11.980711499999996,-15.122913153945,1.650000000000013e-05,-9.84999999999999e-05,0.0,-0.00015474999999999983,-0.00030874999999999967,-0.000316,2.500000000001416e-07,-9.502019749999988e-05
420.0,2.9523809523809526,-0.00030225,-0.00044649999999999996,-0.00032616666666666645,-0.000634,-0.0005474999999999998,-0.0006145,-0.00032450000000000014,-0.00045275000000000003,-9.968809499999999,-14.726462999999999,-10.757629000000001,-20.910588,-18.057644999999994,-20.267439000000003,-10.702659000000011,-14.932600499999996,2.3916666666666444e-05,-0.00012033333333333351,0.0,-0.00030783333333333357,-0.00022133333333333336,-0.0002883333333333336,1.6666666666663096e-06,-0.00012658333333333358
424.0,2.9245283018867925,-0.0003300000000000001,-0.0004237499999999999,-0.0002947777777777779,-0.0006772500000000001,-0.0004717500000000004,-0.0005060000000000004,-0.0002485,-0.00042350000000000027,-10.884059999999998,-13.9761225,-9.72236066666666,-22.337059499999995,-15.559258499999999,-16.688891999999996,-8.196027000000015,-13.967877000000001,-3.522222222222219e-05,-0.000128972222222222,0.0,-0.0003824722222222222,-0.00017697222222222246,-0.00021122222222222245,4.62777777777779e-05,-0.00012872222222222235
428.0,2.897196261682243,-0.0003005000000000001,-0.0004145000000000001,-0.00028833333333333315,-0.0006637499999999998,-0.0004042500000000003,-0.00041850000000000004,-0.00020599999999999959,-0.00039349999999999975,-9.911091000000003,-13.671039000000002,-9.509809999999995,-21.891802500000004,-13.332973499999994,-13.802966999999995,-6.7942919999999845,-12.978416999999993,-1.2166666666666944e-05,-0.00012616666666666695,0.0,-0.0003754166666666667,-0.00011591666666666716,-0.00013016666666666689,8.233333333333356e-05,-0.0001051666666666666
432.0,2.8703703703703702,-0.00026524999999999997,-0.0004124999999999999,-0.00025733333333333316,-0.0006299999999999999,-0.00040025,-0.00037700000000000016,-0.00015575000000000007,-0.00033249999999999946,-8.7484755,-13.605075,-8.487368000000004,-20.77866000000001,-13.201045499999978,-12.434214000000011,-5.136946500000008,-10.966515000000001,-7.916666666666814e-06,-0.00015516666666666673,0.0,-0.00037266666666666676,-0.00014291666666666684,-0.00011966666666666701,0.00010158333333333308,-7.516666666666631e-05
436.0,2.8440366972477062,-0.000219,-0.00037224999999999997,-0.00025211111111111116,-0.0005717500000000002,-0.0003415000000000002,-0.000356,-0.00010549999999999969,-0.00028649999999999986,-7.223058000000002,-12.2775495,-8.315128666666673,-18.857458500000007,-11.263352999999995,-11.741591999999997,-3.4796010000000166,-9.449342999999999,3.3111111111111145e-05,-0.00012013888888888881,0.0,-0.00031963888888888905,-8.938888888888907e-05,-0.00010388888888888882,0.00014661111111111146,-3.438888888888871e-05
440.0,2.8181818181818183,-0.00019575000000000001,-0.00036275,-0.00022111111111111116,-0.0005049999999999998,-0.0003125000000000003,-0.0003177499999999999,-9.550000000000053e-05,-0.00024300000000000016,-6.4562265,-11.9642205,-7.292686666666668,-16.655910000000006,-10.306875000000005,-10.480030500000012,-3.1497810000000044,-8.014625999999993,2.5361111111111146e-05,-0.00014163888888888885,0.0,-0.00028388888888888865,-9.138888888888912e-05,-9.663888888888873e-05,0.00012561111111111063,-2.1888888888889e-05
444.0,2.7927927927927927,-0.00019525,-0.00035000000000000005,-0.0001708333333333336,-0.0004417500000000003,-0.00030025000000000017,-0.00029275000000000004,-6.075000000000004e-05,-0.0002052499999999997,-6.439735499999999,-11.543700000000001,-5.634424999999993,-14.569798500000005,-9.902845499999998,-9.65548050000001,-2.0036565000000053,-6.769555499999996,-2.4416666666666402e-05,-0.00017916666666666645,0.0,-0.0002709166666666667,-0.00012941666666666657,-0.00012191666666666644,0.00011008333333333356,-3.44166666666661e-05
448.0,2.767857142857143,-0.0001845,-0.0003395,-0.00016188888888888915,-0.0003855000000000004,-0.0002760000000000002,-0.00026900000000000014,-4.549999999999997e-05,-0.0001732499999999998,-6.085178999999999,-11.197389,-5.339419333333332,-12.714561000000003,-9.103031999999999,-8.872157999999985,-1.5006810000000144,-5.7141314999999935,-2.2611111111110863e-05,-0.00017761111111111086,0.0,-0.00022361111111111128,-0.00011411111111111105,-0.00010711111111111099,0.00011638888888888918,-1.1361111111110643e-05
452.0,2.743362831858407,-0.00016150000000000002,-0.00031899999999999995,-0.00015683333333333348,-0.00033850000000000026,-0.00025975,-0.0002427499999999999,-2.6749999999999864e-05,-0.0001332499999999997,-5.326593000000001,-10.521258000000001,-5.172677000000007,-11.164407000000011,-8.567074499999997,-8.006380500000006,-0.882268499999995,-4.3948515000000015,-4.666666666666545e-06,-0.00016216666666666647,0.0,-0.00018166666666666678,-0.00010291666666666652,-8.591666666666643e-05,0.0001300833333333336,2.358333333333379e-05
